Sample,LOLP,EENS,SAIFI,SAIDI,Cost
53141,0.000940893095726464,2.68154532282042,0.000940893095726464,8.24222351856382,108648
53161,0.000940539117021877,2.68053648351235,0.000940539117021877,8.23912266511164,108648
53181,0.00094018540456178,2.67952840300107,0.00094018540456178,8.23602414396119,108648
53201,0.000939831958045901,2.67852108043082,0.000939831958045901,8.2329279524821,108648
53221,0.000939478777174424,2.67751451494711,0.000939478777174424,8.22983408804795,108648
53241,0.000939125861647978,2.67650870569674,0.000939125861647978,8.22674254803629,108648
53261,0.000938773211167646,2.67550365182779,0.000938773211167646,8.22365332982858,108648
53281,0.000938420825434958,2.67449935248963,0.000938420825434958,8.22056643081023,108648
53301,0.000938068704151892,2.67349580683289,0.000938068704151892,8.21748184837057,108648
53321,0.000937716847020874,2.67249301400949,0.000937716847020874,8.21439957990285,108648
53341,0.000937365253744774,2.67149097317261,0.000937365253744774,8.21131962280422,108648
53361,0.000937013924026911,2.6704896834767,0.000937013924026911,8.20824197447574,108648
53381,0.000936662857571046,2.66948914407748,0.000936662857571046,8.20516663232236,108648
53401,0.000936312054081384,2.66848935413195,0.000936312054081384,8.20209359375293,108648
53421,0.000935961513262575,2.66749031279834,0.000935961513262575,8.19902285618015,108648
53441,0.000935611234819708,2.66649201923617,0.000935611234819708,8.19595441702064,108648
53461,0.000935261218458315,2.6654944726062,0.000935261218458315,8.19288827369484,108648
53481,0.00093491146388437,2.66449767207045,0.00093491146388437,8.18982442362708,108648
53501,0.000934561970804284,2.66350161679221,0.000934561970804284,8.18676286424553,108648
53521,0.000934212738924908,2.66250630593599,0.000934212738924908,8.18370359298219,108648
53541,0.000933863767953531,2.66151173866756,0.000933863767953531,8.18064660727293,108648
53561,0.000933515057597879,2.66051791415396,0.000933515057597879,8.17759190455742,108648
53581,0.000933166607566115,2.65952483156343,0.000933166607566115,8.17453948227917,108648
53601,0.000932818417566836,2.65853249006548,0.000932818417566836,8.17148933788549,108648
53621,0.000932470487309077,2.65754088883087,0.000932470487309077,8.16844146882751,108648
53641,0.000932122816502302,2.65655002703156,0.000932122816502302,8.16539587256017,108648
53661,0.000931775404856413,2.65555990384078,0.000931775404856413,8.16235254654218,108648
53681,0.000931428252081742,2.65457051843297,0.000931428252081742,8.15931148823606,108648
53701,0.000931081357889052,2.6535818699838,0.000931081357889052,8.1562726951081,108648
53721,0.000930734721989539,2.65259395767018,0.000930734721989539,8.15323616462836,108648
53741,0.000930388344094825,2.65160678067025,0.000930388344094825,8.15020189427067,108648
53761,0.000930042223916966,2.65062033816335,0.000930042223916966,8.14716988151262,108648
53781,0.000929696361168442,2.64963462933006,0.000929696361168442,8.14414012383556,108648
53801,0.000929350755562164,2.64864965335217,0.000929350755562164,8.14111261872456,108648
53821,0.000929005406811468,2.64766540941268,0.000929005406811468,8.13808736366846,108648
53841,0.000928660314630115,2.64668189669583,0.000928660314630115,8.1350643561598,108648
53861,0.000928315478732292,2.64569911438703,0.000928315478732292,8.13204359369488,108648
53881,0.000927970898832613,2.64471706167295,0.000927970898832613,8.12902507377369,108648
53901,0.000927626574646111,2.64373573774142,0.000927626574646111,8.12600879389993,108648
53921,0.000927282505888244,2.6427551417815,0.000927282505888244,8.12299475158102,108648
53941,0.000926938692274893,2.64177527298344,0.000926938692274893,8.11998294432806,108648
53961,0.000926595133522359,2.64079613053872,0.000926595133522359,8.11697336965586,108648
53981,0.000926251829347363,2.63981771363998,0.000926251829347363,8.1139660250829,108648
54001,0.000925908779467047,2.63884002148108,0.000925908779467047,8.11096090813133,108648
54021,0.000925565983598971,2.63786305325707,0.000925565983598971,8.10795801632698,108648
54041,0.000925223441461113,2.63688680816417,0.000925223441461113,8.10495734719935,108648
54061,0.000924881152771869,2.63591128539983,0.000924881152771869,8.10195889828157,108648
54081,0.000924539117250051,2.63493648416264,0.000924539117250051,8.09896266711045,108648
54101,0.000924197334614887,2.63396240365243,0.000924197334614887,8.09596865122641,108648
54121,0.00092385580458602,2.63298904307016,0.00092385580458602,8.09297684817354,108648
54141,0.000923514526883508,2.632016401618,0.000923514526883508,8.08998725549953,108648
54161,0.000923173501227821,2.63104447849929,0.000923173501227821,8.08699987075571,108648
54181,0.000922832727339842,2.63007327291855,0.000922832727339842,8.08401469149702,108648
54201,0.000922492204940868,2.62910278408147,0.000922492204940868,8.08103171528201,108648
54221,0.000922151933752605,2.62813301119492,0.000922151933752605,8.07805093967282,108648
54241,0.00092181191349717,2.62716395346693,0.00092181191349717,8.07507236223521,108648
54261,0.00092147214389709,2.62619561010671,0.00092147214389709,8.07209598053851,108648
54281,0.000921132624675301,2.62522798032461,0.000921132624675301,8.06912179215563,108648
54301,0.000920793355555146,2.62426106333217,0.000920793355555146,8.06614979466308,108648
54321,0.000920454336260378,2.62329485834208,0.000920454336260378,8.06317998564091,108648
54341,0.000920115566515154,2.62232936456819,0.000920115566515154,8.06021236267275,108648
54361,0.000919777046044039,2.62136458122551,0.000919777046044039,8.05724692334578,108648
54381,0.000919438774572001,2.6204005075302,0.000919438774572001,8.05428366525073,108648
54401,0.000919100751824415,2.61943714269958,0.000919100751824415,8.05132258598188,108648
54421,0.000918762977527058,2.61847448595211,0.000918762977527058,8.04836368313702,108648
54441,0.000918425451406109,2.61751253650741,0.000918425451406109,8.04540695431752,108648
54461,0.000918088173188153,2.61655129358624,0.000918088173188153,8.04245239712822,108648
54481,0.000917751142600173,2.61559075641049,0.000917751142600173,8.03950000917751,108648
54501,0.000917414359369553,2.61463092420323,0.000917414359369553,8.03654978807728,108648
54521,0.000917077823224079,2.61367179618862,0.000917077823224079,8.03360173144293,108648
54541,0.000916741533891934,2.61271337159201,0.000916741533891934,8.03065583689335,108648
54561,0.000916405491101703,2.61175564963985,0.000916405491101703,8.02771210205092,108648
54581,0.000916069694582364,2.61079862955974,0.000916069694582364,8.02477052454151,108648
54601,0.000915734144063296,2.60984231058039,0.000915734144063296,8.02183110199447,108648
54621,0.000915398839274272,2.60888669193167,0.000915398839274272,8.01889383204262,108648
54641,0.000915063779945462,2.60793177284457,0.000915063779945462,8.01595871232225,108648
54661,0.000914728965807431,2.60697755255118,0.000914728965807431,8.0130257404731,108648
54681,0.000914394396591138,2.60602403028474,0.000914394396591138,8.01009491413837,108648
54701,0.000914060072027934,2.60507120527961,0.000914060072027934,8.0071662309647,108648
54721,0.000913725991849564,2.60411907677126,0.000913725991849564,8.00423968860218,108648
54741,0.000913392155788166,2.60316764399627,0.000913392155788166,8.00131528470433,108648
54761,0.000913058563576268,2.60221690619236,0.000913058563576268,7.99839301692811,108648
54781,0.000912725214946788,2.60126686259835,0.000912725214946788,7.99547288293386,108648
54801,0.000912392109633036,2.60031751245415,0.000912392109633036,7.99255488038539,108648
54821,0.000912059247368709,2.59936885500082,0.000912059247368709,7.98963900694989,108648
54841,0.000911726627887894,2.5984208894805,0.000911726627887894,7.98672526029795,108648
54861,0.000911394250925065,2.59747361513644,0.000911394250925065,7.98381363810357,108648
54881,0.000911062116215084,2.59652703121299,0.000911062116215084,7.98090413804413,108648
54901,0.000910730223493197,2.59558113695561,0.000910730223493197,7.9779967578004,108648
54921,0.000910398572495038,2.59463593161086,0.000910398572495038,7.97509149505654,108648
54941,0.000910067162956626,2.59369141442638,0.000910067162956626,7.97218834750005,108648
54961,0.000909735994614363,2.59274758465093,0.000909735994614363,7.96928731282182,108648
54981,0.000909405067205034,2.59180444153435,0.000909405067205034,7.9663883887161,108648
55001,0.00090907438046581,2.59086198432756,0.00090907438046581,7.96349157288049,108648
55021,0.00090874393413424,2.58992021228258,0.00090874393413424,7.96059686301594,108648
55041,0.000908413727948257,2.58897912465253,0.000908413727948257,7.95770425682673,108648
55061,0.000908083761646174,2.5880387206916,0.000908083761646174,7.95481375202049,108648
55081,0.000907754034966685,2.58709899965505,0.000907754034966685,7.95192534630816,108648
55101,0.000907424547648863,2.58615996079926,0.000907424547648863,7.94903903740404,108648
55121,0.000907095299432158,2.58522160338165,0.000907095299432158,7.94615482302571,108648
55141,0.000906766290056401,2.58428392666074,0.000906766290056401,7.94327270089407,108648
55161,0.000906437519261797,2.58334692989612,0.000906437519261797,7.94039266873334,108648
55181,0.000906108986788931,2.58241061234845,0.000906108986788931,7.93751472427104,108648
55201,0.000905780692378761,2.58147497327947,0.000905780692378761,7.93463886523795,108648
55221,0.000905452635772623,2.58054001195197,0.000905452635772623,7.93176508936818,108648
55241,0.000905124816712225,2.57960572762984,0.000905124816712225,7.92889339439909,108648
55261,0.00090479723493965,2.578672119578,0.00090479723493965,7.92602377807133,108648
